Station,LAT,LONG,ELEVATION
53856,36.46667,110.75,765.9
53857,36.06667,110.1833,840.3
53859,36.1,110.6667,851.3
53860,36.98333,111.1667,1406.7
53861,35.88333,111.3833,463.5
53862,36.85,111.8,811.7
53863,37.06667,111.95,746
53864,36.4,111.1,1030.6
53865,36.65,111.55,1011.9
53866,36.23333,111.6667,462.8
53868,36.06667,111.5,449.5
53869,36.58333,111.7,550
53871,36.85,112.8667,1080.3
53872,36.76667,112.6833,960.7
53874,36.25,111.9,648.7
53875,36.51667,112.35,1000
53877,36.16667,112.25,860.1
53881,37.28333,106.4833,1382.2
53903,35.96667,105.7167,1916.5
53906,35.51667,105.7167,1656.4
53908,35.21667,105.2333,1769.8
53910,35.66667,106.2,2841.2
53914,35.61667,106.1167,2078.6
53915,35.55,106.6667,1346.6
53916,35.5,106.3167,1948.6
53917,35.21667,106.0667,1631
53923,35.73333,107.6333,1421
53924,35.06667,107.6167,966.6
53925,35.68333,107.1833,1172.5
53926,35.35,107.35,1028.8
53927,35.2,106.6167,1477.6
53928,35.3,107.0167,1149.1
53929,35.2,107.8,1206.5
53930,36.45,107.9833,1271
53931,36,109.3667,984
53934,35.78333,107.9833,1274.2
53935,35.48333,108.4,1481.9
53937,35.51667,107.9167,979.4
53938,35.16667,108.3,1277
53941,35.18333,109.5833,804.4
53942,35.76667,109.4167,1155.9
53945,35.43333,109.0667,1395.2
53946,35.6,109.8167,1091
53947,35.08333,109.0667,978.9
53948,34.95,109.5833,499.2
53949,35.18333,109.9167,679.1
53950,35.23333,110.15,708.8
53953,35.96667,110.85,965.3
53954,35.61667,110.9667,433.5
53955,35.46667,110.45,458.1
53956,35.4,110.8333,588.4
53957,35.61667,110.7167,459.2
53958,35.16667,110.7833,435.6
53959,35.11667,111.0667,375
53961,35.65,111.4833,472.6
53962,35.73333,111.7,584.5
53963,35.65,111.3667,433.8
53964,35.61667,111.2167,430.8
53965,35.51667,111.5667,761
53966,35.98333,111.8333,817.2
53967,35.33333,111.2,468.3
53968,35.28333,111.6667,505
54012,44.56667,117.6333,1001.7
54024,44.45,119.3,710
54026,44.56667,120.9,265
54027,43.98333,119.4,486.2
54031,44.9,121.8167,198.3
54039,44.03333,122.0167,181.6
54041,44.8,123.0667,150
54047,44.13333,123.2833,145.8
54049,44.25,123.9667,188.9
54063,44.96667,126,196.8
54064,44.38333,125.15,170.2
54065,44.53333,125.65,169.1
54069,44.11667,125.8,173.6
54072,44.85,126.5167,196.5
54076,44.38333,126.9333,268.1
54080,44.9,127.15,194.6
54102,43.95,116.1167,1003
54113,43.53333,118.65,621.4
54115,43.63333,118.0333,825
54117,43.25,117.5333,1003.3
54122,43.86667,120.0333,428.9
54132,42.4,121.0667,400
54134,43.6,121.2833,241
54135,43.6,122.2667,178.7
54142,43.5,123.5333,114.9
54154,43.35,124.3,160.2
54155,43.66667,124.2333,144.2
54156,43.51667,124.8,200.4
54157,43.11667,124.3833,179.5
54161,43.9,125.2167,236.8
54164,43.35,125.2833,248.1
54165,43.55,125.6333,219.5
54169,43.3,126.0167,271.6
54171,43.7,126.5167,229.5
54172,43.86667,126.5333,290.3
54181,43.7,127.3333,295
54204,42.3,115,1346.3
54205,42.23333,116,1315.5
54208,42.18333,116.4667,1245.4
54213,42.93333,119.0167,634.3
54214,42.58333,118.4167,960
54218,42.3,118.8333,668.6
54223,42.85,120.65,362.9
54225,42.3,119.95,579.4
54226,42.33333,120.7,400.5
54231,42.96667,122.35,248.1
54234,42.73333,121.75,297.8
54236,42.38333,122.55,79.4
54237,42.06667,121.75,167.8
54243,42.78333,124.1,165.1
54244,42.73333,123.35,118.6
54245,42.5,123.4,97.8
54248,42.03333,123.5333,61.6
54249,42.3,123.8667,85.4
54252,42.73333,124.7333,196.1
54254,42.53333,124.05,98.2
54260,42.91667,125.0833,252.9
54261,42.66667,125.4667,345.3
54263,42.96667,126.0833,351.2
54266,42.53333,125.6333,340.5
54301,41.66667,115.65,1411.2
54304,40.95,115.2667,1239.8
54305,41.88333,115.2667,1468.9
54308,41.2,116.6333,735.1
54311,41.96667,117.7667,892.7
54313,41.93333,118.7,733.7
54316,41.51667,118.75,679.3
54318,41.31667,117.7333,561.6
54319,41,118.6667,502.3
54320,41.6,119.3,544.2
54321,41.9,119.7167,661.8
